disease,scheme,year,std_UCF,CI_lo,CI_hi,variance,effective_weight_sum,supported_cells
N18,own_disease_2018_2024_age_sex_mention_distribution,2009,0.2744859896260979,0.27115981833995007,0.2778121609122457,2.879897809452918e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2010,0.2870588320931343,0.2836908041659606,0.29042686002030804,2.952835307742095e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2011,0.18315253766237707,0.18102765985267577,0.18527741547207838,1.1753190613705231e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2012,0.18231266448266262,0.18025279872633337,0.18437253023899186,1.104499930783487e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2013,0.31500897123614174,0.31185126480112585,0.31816667767115764,2.595561726817165e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2014,0.322580180009927,0.3194600770153061,0.3257002830045479,2.5341114892342525e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2015,0.322785514082992,0.31979714987688634,0.32577387828909765,2.324635732073521e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2016,0.3201701909475938,0.3172838424138875,0.3230565394813001,2.1686297006529993e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2017,0.31407172777181386,0.3112796731780932,0.31686378236553453,2.0292505347554997e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2018,0.3130393309113704,0.31031367550429473,0.315764986318446,1.9338810386611264e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2019,0.3107384924030005,0.3080772800707954,0.3133997047352056,1.8435160029884983e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2020,0.27086326252289655,0.2685061020734956,0.2732204229722975,1.4463258497032301e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2021,0.26659563813740045,0.26427810034544674,0.26891317592935415,1.398110531323818e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2022,0.29479161040838786,0.29232835549764746,0.29725486531912826,1.5794525081441588e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2023,0.30113635974632935,0.2985925580125822,0.3036801614800765,1.6844354593437163e-06,1.0,14
N18,own_disease_2018_2024_age_sex_mention_distribution,2024,0.3007170773990088,0.2981965840780381,0.30323757071997953,1.6537085019413337e-06,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,1999,0.21596273880322223,0.21373345014121622,0.21819202746522823,1.2936609585975792e-06,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2000,0.22230195892977983,0.22004124315000437,0.2245626747095553,1.3303925023234555e-06,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2001,0.22665374627702153,0.22439409343311556,0.2289133991209275,1.3291417573335007e-06,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2002,0.2330252888469204,0.23077142991845584,0.23527914777538494,1.3223344620521108e-06,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2003,0.23072786250017938,0.2285045903418362,0.23295113465852255,1.2866876015368198e-06,1.0,14
A40_A41,own_disease_2018_2024_age_sex_mention_distribution,2004,0.22634682186608432,0.22414410910185562,0.22854953463031302,1.2630007084798275e-06,1.0,14
