disease,year,M_record_axis_mention,U_main_M_and_UCD,U_official_all_UCD,UCF,CI_lo,CI_hi,orphan_UCD
A40_A41,2013,173620,38156,38156,0.2197673079138348,0.21782573114158216,0.22172128508384178,0
A40_A41,2014,182242,38940,38940,0.2136719307294696,0.21179606350105612,0.2155598686584106,0
A40_A41,2015,195214,40773,40773,0.2088630938354831,0.2070656090416697,0.2106720365004404,0
A40_A41,2016,198155,40613,40613,0.20495571648457017,0.2031841011534619,0.20673877112827296,0
A40_A41,2017,203676,40922,40922,0.20091714291325438,0.19918265747377728,0.20266290992552968,0
A40_A41,2018,205925,40718,40718,0.19773218404759013,0.19601757804463293,0.1994580672408581,0
A40_A41,2019,201092,38431,38431,0.19111153104051876,0.18939898172459363,0.19283588151876618,0
A40_A41,2020,242155,40050,40050,0.16538993619788978,0.16391546453538197,0.16687502395662054,0
A40_A41,2021,260946,41281,41281,0.15819748147126225,0.15680235444675383,0.159602671887972,0
A40_A41,2022,243672,42261,42261,0.1734339604057914,0.17193579270044845,0.1749424244949353,0
A40_A41,2023,225492,41710,41710,0.18497330282227306,0.1833760821794771,0.1865812568078819,0
A40_A41,2024,221193,40057,40057,0.18109524261617682,0.179495942069931,0.1827056198078678,0
