year,destination,ucd,raw_n,gap_denominator,raw_probability
2002,OTHER,M100,1,1189,0.0008410428931875525
2002,OTHER,M199,1,1189,0.0008410428931875525
2002,OTHER,M359,1,1189,0.0008410428931875525
2002,OTHER,M798,1,1189,0.0008410428931875525
2002,OTHER,N049,1,1189,0.0008410428931875525
2002,OTHER,N179,4,1189,0.00336417157275021
2002,OTHER,N180,5,1189,0.004205214465937763
2002,OTHER,N189,5,1189,0.004205214465937763
2002,OTHER,N19,7,1189,0.005887300252312868
2002,OTHER,N319,1,1189,0.0008410428931875525
2002,OTHER,N390,8,1189,0.00672834314550042
2002,OTHER,Q249,1,1189,0.0008410428931875525
2002,OTHER,Q909,1,1189,0.0008410428931875525
2002,OTHER,Y832,1,1189,0.0008410428931875525
2002,OTHER,Y836,1,1189,0.0008410428931875525
2003,OTHER,D593,1,1162,0.0008605851979345956
2003,OTHER,D649,2,1162,0.0017211703958691911
2003,OTHER,D689,3,1162,0.0025817555938037868
2003,OTHER,E039,1,1162,0.0008605851979345956
2003,OTHER,E049,1,1162,0.0008605851979345956
2003,OTHER,E274,1,1162,0.0008605851979345956
2003,OTHER,E668,4,1162,0.0034423407917383822
2003,OTHER,E669,2,1162,0.0017211703958691911
2003,OTHER,E722,1,1162,0.0008605851979345956
2003,OTHER,E780,1,1162,0.0008605851979345956
2003,OTHER,E785,8,1162,0.0068846815834767644
2003,OTHER,E86,1,1162,0.0008605851979345956
2003,OTHER,E880,1,1162,0.0008605851979345956
2003,OTHER,F03,11,1162,0.00946643717728055
2003,OTHER,F069,2,1162,0.0017211703958691911
2003,OTHER,F100,1,1162,0.0008605851979345956
2003,OTHER,F102,2,1162,0.0017211703958691911
2003,OTHER,F29,1,1162,0.0008605851979345956
2003,OTHER,F319,1,1162,0.0008605851979345956
2003,OTHER,G030,1,1162,0.0008605851979345956
2003,OTHER,G122,4,1162,0.0034423407917383822
2003,OTHER,G20,6,1162,0.0051635111876075735
2003,OTHER,G301,2,1162,0.0017211703958691911
2003,OTHER,G309,21,1162,0.018072289156626505
2003,OTHER,G319,1,1162,0.0008605851979345956
2003,OTHER,G35,1,1162,0.0008605851979345956
2003,OTHER,G473,1,1162,0.0008605851979345956
2003,OTHER,G709,1,1162,0.0008605851979345956
2003,OTHER,G711,1,1162,0.0008605851979345956
2003,OTHER,G931,1,1162,0.0008605851979345956
2003,OTHER,G934,1,1162,0.0008605851979345956
2003,OTHER,K219,1,1162,0.0008605851979345956
2003,OTHER,K222,1,1162,0.0008605851979345956
2003,OTHER,K30,1,1162,0.0008605851979345956
2003,OTHER,K311,1,1162,0.0008605851979345956
2003,OTHER,K315,1,1162,0.0008605851979345956
2003,OTHER,K318,1,1162,0.0008605851979345956
2003,OTHER,K319,1,1162,0.0008605851979345956
2003,OTHER,K529,1,1162,0.0008605851979345956
2003,OTHER,K550,4,1162,0.0034423407917383822
2003,OTHER,K559,6,1162,0.0051635111876075735
2003,OTHER,K563,14,1162,0.012048192771084338
2003,OTHER,K566,5,1162,0.004302925989672977
2003,OTHER,K567,2,1162,0.0017211703958691911
2003,OTHER,K572,1,1162,0.0008605851979345956
2003,OTHER,K578,1,1162,0.0008605851979345956
2003,OTHER,K579,2,1162,0.0017211703958691911
2003,OTHER,K590,1,1162,0.0008605851979345956
2003,OTHER,K593,1,1162,0.0008605851979345956
2003,OTHER,K630,1,1162,0.0008605851979345956
2003,OTHER,K638,1,1162,0.0008605851979345956
2003,OTHER,K658,1,1162,0.0008605851979345956
2003,OTHER,K729,2,1162,0.0017211703958691911
2003,OTHER,K750,3,1162,0.0025817555938037868
2003,OTHER,K759,1,1162,0.0008605851979345956
2003,OTHER,K760,2,1162,0.0017211703958691911
2003,OTHER,K767,2,1162,0.0017211703958691911
2003,OTHER,K85,41,1162,0.035283993115318414
2003,OTHER,K860,2,1162,0.0017211703958691911
2003,OTHER,K861,4,1162,0.0034423407917383822
2003,OTHER,L121,1,1162,0.0008605851979345956
2003,OTHER,L89,1,1162,0.0008605851979345956
2003,OTHER,M069,2,1162,0.0017211703958691911
