analysis,scenario,comparison,start_year,end_year,year,group,A_records,B_records,denominator_records,UCF,UCF_CI_lo,UCF_CI_hi,start_weight,end_weight,start_UCF,end_UCF,composition_component,selection_component,total_change,composition_total,selection_total,decomposition_residual,excluded_A_records,excluded_B_records,metric,metric_value,note
entity_status,raw_entity_axis_status,annual,,,2007,Both,17,16,17,0.9411764705882353,0.7301796936242461,0.9895395990150025,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2007,entity_no_K80,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2007,entity_unknown,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2008,Part_I_only,1214,1080,1214,0.8896210873146623,0.8707498220344135,0.9060343752420252,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2008,Part_II_only,808,46,808,0.05693069306930693,0.04295104176070542,0.07510336132424714,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2008,Both,12,10,12,0.8333333333333334,0.5519691377470266,0.9530348578161463,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2008,entity_no_K80,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2008,entity_unknown,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2009,Part_I_only,1106,931,1106,0.8417721518987342,0.819085421614714,0.8620929520994178,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2009,Part_II_only,702,43,702,0.06125356125356125,0.0457906957137784,0.08149207819808482,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2009,Both,16,14,16,0.875,0.6397717273424132,0.9650225122567595,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2009,entity_no_K80,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2009,entity_unknown,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2010,Part_I_only,1113,958,1113,0.8607367475292004,0.8391529624330135,0.8798389711650744,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2010,Part_II_only,657,29,657,0.0441400304414003,0.030906564640661813,0.06267330689320566,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2010,Both,10,7,10,0.7,0.3967781474611453,0.8922087325936988,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2010,entity_no_K80,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2010,entity_unknown,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2011,Part_I_only,1138,960,1138,0.843585237258348,0.8213284165348131,0.8635302334634606,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2011,Part_II_only,657,31,657,0.0471841704718417,0.03343750647989905,0.06619525405875061,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2011,Both,13,13,13,1.0,0.7719046276458015,1.0,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2011,entity_no_K80,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2011,entity_unknown,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2012,Part_I_only,1107,970,1107,0.8762420957542909,0.8555321960784968,0.8943497905772231,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2012,Part_II_only,630,48,630,0.0761904761904762,0.05794614467649288,0.09957188673542529,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2012,Both,9,7,9,0.7777777777777778,0.45258896910698887,0.9367748928821533,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2012,entity_no_K80,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
