"panel","year","destination","estimate","lo","hi","count","code","interval_type","bootstrap_reps","simultaneous_excludes_zero"
"A/B",2014,"CIRCULATORY",0.291401141163041,0.257243895033686,0.325558387292397,204,NA,"pointwise annual 95% CI",NA,NA
"A/B",2014,"DIABETES_NUTRITIONAL",0.0373373313788445,0.0228631611154462,0.0518115016422429,25,NA,"pointwise annual 95% CI",NA,NA
"A/B",2014,"DIGESTIVE_OTHER",0.0526332944321818,0.0362228136070636,0.0690437752573001,35,NA,"pointwise annual 95% CI",NA,NA
"A/B",2014,"EXTERNAL",0.0370025287234727,0.0234455082299907,0.0505595492169548,28,NA,"pointwise annual 95% CI",NA,NA
"A/B",2014,"INFECTIOUS_PARASITIC",0.0698285134283573,0.0503253570740599,0.0893316697826548,48,NA,"pointwise annual 95% CI",NA,NA
"A/B",2014,"NEOPLASMS",0.133104965821523,0.107329872520997,0.158880059122049,89,NA,"pointwise annual 95% CI",NA,NA
"A/B",2014,"OTHER",0.26610818978314,0.23379553190821,0.298420847658069,190,NA,"pointwise annual 95% CI",NA,NA
"A/B",2014,"OTHER_GALLBLADDER_BILIARY",0.026528579833721,0.01481836650956,0.038238793157882,20,NA,"pointwise annual 95% CI",NA,NA
"A/B",2014,"RESPIRATORY",0.0860554554357188,0.064742211515697,0.10736869935574,59,NA,"pointwise annual 95% CI",NA,NA
"A/B",2015,"CIRCULATORY",0.278239254599216,0.244800125762606,0.311678383435826,196,NA,"pointwise annual 95% CI",NA,NA
"A/B",2015,"DIABETES_NUTRITIONAL",0.0349097043513285,0.0211447381539729,0.0486746705486842,24,NA,"pointwise annual 95% CI",NA,NA
"A/B",2015,"DIGESTIVE_OTHER",0.0685789725852126,0.049170657623718,0.0879872875467072,44,NA,"pointwise annual 95% CI",NA,NA
"A/B",2015,"EXTERNAL",0.0253289045617031,0.0133675578137244,0.0372902513096817,21,NA,"pointwise annual 95% CI",NA,NA
"A/B",2015,"INFECTIOUS_PARASITIC",0.0588073628250449,0.040896152991052,0.0767185726590377,41,NA,"pointwise annual 95% CI",NA,NA
"A/B",2015,"NEOPLASMS",0.157253743451505,0.129443023307892,0.185064463595118,106,NA,"pointwise annual 95% CI",NA,NA
"A/B",2015,"OTHER",0.245582713243954,0.212920975540564,0.278244450947344,171,NA,"pointwise annual 95% CI",NA,NA
"A/B",2015,"OTHER_GALLBLADDER_BILIARY",0.0356866200208148,0.02160152019517,0.0497717198464597,24,NA,"pointwise annual 95% CI",NA,NA
"A/B",2015,"RESPIRATORY",0.0956127243612212,0.0736596548299684,0.117565793892474,66,NA,"pointwise annual 95% CI",NA,NA
"A/B",2016,"CIRCULATORY",0.276254549392187,0.243364364340687,0.309144734443686,194,NA,"pointwise annual 95% CI",NA,NA
"A/B",2016,"DIABETES_NUTRITIONAL",0.0384279284589898,0.0243800888604283,0.0524757680575512,28,NA,"pointwise annual 95% CI",NA,NA
"A/B",2016,"DIGESTIVE_OTHER",0.0585959731446857,0.0416655026374173,0.0755264436519541,43,NA,"pointwise annual 95% CI",NA,NA
"A/B",2016,"EXTERNAL",0.0454669139209523,0.0305467362344906,0.060387091607414,35,NA,"pointwise annual 95% CI",NA,NA
"A/B",2016,"INFECTIOUS_PARASITIC",0.0583510374619621,0.0409917359261184,0.0757103389978059,41,NA,"pointwise annual 95% CI",NA,NA
"A/B",2016,"NEOPLASMS",0.133783929926139,0.108554599553329,0.159013260298948,92,NA,"pointwise annual 95% CI",NA,NA
"A/B",2016,"OTHER",0.275183201370615,0.242235086885201,0.30813131585603,198,NA,"pointwise annual 95% CI",NA,NA
"A/B",2016,"OTHER_GALLBLADDER_BILIARY",0.0464732417416202,0.0305669164895483,0.0623795669936923,31,NA,"pointwise annual 95% CI",NA,NA
"A/B",2016,"RESPIRATORY",0.0674632245828491,0.0490622889779691,0.0858641601877291,49,NA,"pointwise annual 95% CI",NA,NA
"A/B",2017,"CIRCULATORY",0.270294751679705,0.236700433000632,0.303889070358779,187,NA,"pointwise annual 95% CI",NA,NA
"A/B",2017,"DIABETES_NUTRITIONAL",0.0447248340099671,0.0289292622089705,0.0605204058109636,30,NA,"pointwise annual 95% CI",NA,NA
"A/B",2017,"DIGESTIVE_OTHER",0.0585968323451482,0.0406082844648863,0.0765853802254101,38,NA,"pointwise annual 95% CI",NA,NA
"A/B",2017,"EXTERNAL",0.0309139626707933,0.0177457095056848,0.0440822158359018,22,NA,"pointwise annual 95% CI",NA,NA
"A/B",2017,"INFECTIOUS_PARASITIC",0.072769069641686,0.0532258156690254,0.0923123236143466,49,NA,"pointwise annual 95% CI",NA,NA
"A/B",2017,"NEOPLASMS",0.143473953284936,0.116904576392888,0.170043330176984,96,NA,"pointwise annual 95% CI",NA,NA
"A/B",2017,"OTHER",0.276116020670909,0.243008718003232,0.309223323338585,202,NA,"pointwise annual 95% CI",NA,NA
"A/B",2017,"OTHER_GALLBLADDER_BILIARY",0.0315008098529947,0.0186879783863839,0.0443136413196055,24,NA,"pointwise annual 95% CI",NA,NA
"A/B",2017,"RESPIRATORY",0.0716097658438609,0.0517806434178951,0.0914388882698267,47,NA,"pointwise annual 95% CI",NA,NA
"A/B",2018,"CIRCULATORY",0.29911643898082,0.264144705485676,0.334088172475965,195,NA,"pointwise annual 95% CI",NA,NA
"A/B",2018,"DIABETES_NUTRITIONAL",0.0256741321378586,0.0137019676019008,0.0376462966738164,17,NA,"pointwise annual 95% CI",NA,NA
"A/B",2018,"DIGESTIVE_OTHER",0.039399000990443,0.024645083273586,0.0541529187072999,26,NA,"pointwise annual 95% CI",NA,NA
"A/B",2018,"EXTERNAL",0.0326817163254206,0.0194632842825523,0.0459001483682889,23,NA,"pointwise annual 95% CI",NA,NA
"A/B",2018,"INFECTIOUS_PARASITIC",0.0662954501385921,0.046940605635725,0.0856502946414591,42,NA,"pointwise annual 95% CI",NA,NA
"A/B",2018,"NEOPLASMS",0.147377185203619,0.12027904182347,0.174475328583768,95,NA,"pointwise annual 95% CI",NA,NA
"A/B",2018,"OTHER",0.275030085328845,0.240656140003139,0.309404030654551,180,NA,"pointwise annual 95% CI",NA,NA
"A/B",2018,"OTHER_GALLBLADDER_BILIARY",0.0389189171484292,0.0239968690746766,0.0538409652221818,25,NA,"pointwise annual 95% CI",NA,NA
"A/B",2018,"RESPIRATORY",0.0755070737459726,0.0549671103870796,0.0960470371048657,48,NA,"pointwise annual 95% CI",NA,NA
"A/B",2019,"CIRCULATORY",0.274415254688229,0.24187854915257,0.306951960223889,204,NA,"pointwise annual 95% CI",NA,NA
"A/B",2019,"DIABETES_NUTRITIONAL",0.0258938592159156,0.0146057976346469,0.0371819207971842,20,NA,"pointwise annual 95% CI",NA,NA
"A/B",2019,"DIGESTIVE_OTHER",0.0625619666305142,0.0445362712861405,0.0805876619748879,43,NA,"pointwise annual 95% CI",NA,NA
"A/B",2019,"EXTERNAL",0.0423599213369348,0.0277650659719309,0.0569547767019388,34,NA,"pointwise annual 95% CI",NA,NA
"A/B",2019,"INFECTIOUS_PARASITIC",0.0554632047645313,0.0391451985999637,0.0717812109290989,42,NA,"pointwise annual 95% CI",NA,NA
"A/B",2019,"NEOPLASMS",0.15171619402648,0.125165674653699,0.178266713399261,109,NA,"pointwise annual 95% CI",NA,NA
"A/B",2019,"OTHER",0.279014451455656,0.246457729087954,0.311571173823358,210,NA,"pointwise annual 95% CI",NA,NA
"A/B",2019,"OTHER_GALLBLADDER_BILIARY",0.034571308700109,0.021658819450027,0.0474837979501911,27,NA,"pointwise annual 95% CI",NA,NA
"A/B",2019,"RESPIRATORY",0.0740038391816294,0.0549345686158311,0.0930731097474278,56,NA,"pointwise annual 95% CI",NA,NA
"A/B",2020,"CIRCULATORY",0.278948254545888,0.248956843625676,0.3089396654661,237,NA,"pointwise annual 95% CI",NA,NA
"A/B",2020,"DIABETES_NUTRITIONAL",0.0319558992393599,0.0201482313998809,0.043763567078839,28,NA,"pointwise annual 95% CI",NA,NA
"A/B",2020,"DIGESTIVE_OTHER",0.0743417286825796,0.057064267269308,0.0916191900958511,65,NA,"pointwise annual 95% CI",NA,NA
"A/B",2020,"EXTERNAL",0.0337481548906621,0.0221338735925526,0.0453624361887715,30,NA,"pointwise annual 95% CI",NA,NA
"A/B",2020,"INFECTIOUS_PARASITIC",0.102569399956464,0.082260399181288,0.12287840073164,87,NA,"pointwise annual 95% CI",NA,NA
